,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,average_speed,max_speed,average_cadence,average_heartrate,weighted_average_watt,max_watts,commute,trainer,gear_id,sport_type
99,7587188223,Lunch Ride,2022-08-05T11:25:17Z,EBikeRide,12199.8,1871,1993,149.0,6.52,11.88,68.6,0.0,0,0,True,False,b9738894,EBikeRide
100,7586104563,Morning Ride,2022-08-05T07:32:25Z,EBikeRide,13519.5,2165,2241,103.6,6.245,11.58,68.1,0.0,0,0,True,False,b9738894,EBikeRide
101,7584374058,Night Ride,2022-08-04T21:23:20Z,EBikeRide,9627.7,1456,1456,134.0,6.612,11.02,68.6,0.0,0,0,True,False,b9738894,EBikeRide
102,7583588355,Beer ride,2022-08-04T17:22:56Z,EBikeRide,3968.9,647,677,12.0,6.134,11.84,64.6,0.0,0,0,True,False,b9738894,EBikeRide
103,7582454934,Afternoon Ride,2022-08-04T13:17:00Z,EBikeRide,11805.6,1772,1799,81.0,6.662,14.06,65.7,0.0,0,0,True,False,b9738894,EBikeRide
104,7581260145,Giro de Quinta,2022-08-04T06:33:10Z,Ride,66331.8,8809,10947,870.8,7.53,16.886,69.9,119.4,0,599,False,False,b8223536,Ride
105,7578196360,Afternoon Ride,2022-08-03T17:48:36Z,EBikeRide,7502.4,1281,1361,159.8,5.857,11.5,72.0,111.3,0,0,True,False,b9738894,EBikeRide
106,7577466741,Afternoon Ride,2022-08-03T14:38:55Z,EBikeRide,15098.7,2769,3712,170.8,5.453,16.24,62.5,111.1,0,0,True,False,b9738894,EBikeRide
107,7569615166,Gravel de Terça ,2022-08-02T06:33:23Z,Ride,71978.3,10729,11371,1095.0,6.709,17.248,70.3,119.8,0,739,False,False,b6549732,Ride
108,7563518916,Wahoo SYSTM: Tour of Ara,2022-08-01T07:40:22Z,VirtualRide,14098.1,2066,2066,0,6.824,7.78,83.5,105.8,0,151,False,True,b4532046,VirtualRide
109,7563350768,Wahoo SYSTM: Full Circle,2022-08-01T07:16:27Z,VirtualRide,8815.2,1324,1324,0,6.658,7.56,83.4,105.0,0,132,False,True,b4532046,VirtualRide
110,7558855598,Morning Walk,2022-07-31T08:54:53Z,Walk,4596.4,3150,3259,16.0,1.459,2.303,52.0,100.1,0,0,False,False,g2047600,Walk
111,7554989083,Lapeando,2022-07-30T08:01:20Z,Ride,120051.0,20414,24446,2065.0,5.881,16.058,72.3,134.0,0,0,False,False,b5415304,MountainBikeRide
112,7545150048,Afternoon Ride,2022-07-28T17:25:58Z,EBikeRide,13100.3,2328,2508,161.0,5.627,11.02,63.5,0.0,0,0,True,False,b9738894,EBikeRide
113,7543567506,Lunch Ride,2022-07-28T12:32:25Z,EBikeRide,11547.0,1768,1806,83.4,6.531,14.16,64.9,0.0,0,0,True,False,b9738894,EBikeRide
114,7542484876,Roseira,2022-07-28T06:43:22Z,Ride,80424.8,9479,9697,518.0,8.485,16.516,74.3,119.4,0,540,False,False,b8223536,Ride
115,7539617974,Afternoon Ride,2022-07-27T17:26:00Z,EBikeRide,15158.6,2313,2790,219.8,6.554,15.12,69.5,0.0,0,0,True,False,b9738894,EBikeRide
116,7536306960,Wahoo SYSTM: Inside: Women's Movistar Team - 2021 Vuelta a Burgos,2022-07-27T07:19:19Z,VirtualRide,12492.4,1804,1804,0,6.925,7.9,85.8,108.1,0,170,False,True,b4532046,VirtualRide
117,7533812912,Afternoon Ride,2022-07-26T17:25:40Z,EBikeRide,13301.8,2118,2192,145.4,6.28,11.36,64.6,0.0,0,0,True,False,b9738894,EBikeRide
118,7532073365,Lunch Ride,2022-07-26T12:22:01Z,EBikeRide,11619.2,1806,1822,81.6,6.434,14.06,65.6,0.0,0,0,True,False,b9738894,EBikeRide
119,7531017868,Tempo,2022-07-26T06:26:06Z,Ride,87071.9,9792,10145,672.0,8.892,15.37,78.9,131.7,0,795,False,False,b8223536,Ride
120,7521353311,IPA de Domingo ,2022-07-24T07:41:06Z,Ride,67861.9,7851,13816,346.0,8.644,14.582,73.1,133.8,0,774,False,False,b8223536,Ride
121,7515797544,SJP,2022-07-23T06:18:46Z,Ride,110166.0,17154,20600,1316.2,6.422,16.7,66.1,121.3,0,856,False,False,b6549732,GravelRide
122,7512385131,Evening Ride,2022-07-22T20:48:49Z,EBikeRide,5980.1,987,1009,98.6,6.059,12.34,62.6,0.0,0,0,True,False,b9738894,EBikeRide
123,7511829547,Beer Ride,2022-07-22T16:29:42Z,EBikeRide,17441.5,3242,5192,168.0,5.38,13.72,57.0,0.0,0,0,True,False,b9738894,EBikeRide
